Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.117,0.570,2.318,0.0000
knnu mmr,18,0.258,0.116,0.419,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.556,0.382,0.490,0.0022
knni mmr,20,0.245,0.229,0.173,0.2373
svd,25,1.354,1.014,0.812,0.0388
svd td,23,0.455,0.333,0.365,0.0016
svd mmr,19,0.242,0.204,0.175,0.0955
