Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.033,1.155,0.470,0.2920
knnu mmr,0.000,2.000,1.034,1.000,0.509,0.0948
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.005,1.058,0.349,0.1672
knni mmr,0.000,1.548,0.882,0.894,0.451,0.3142
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.261,0.628,0.630,0.350,0.7553
svd mmr,0.093,1.320,0.731,0.818,0.336,0.6324
