Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,1.958,1.036,1.132,0.484,0.5368
knnu mmr,0.000,1.549,0.961,1.018,0.460,0.0578
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.673,0.987,1.000,0.377,0.8171
knni mmr,0.000,1.604,0.847,0.950,0.493,0.0239
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.059,1.549,0.715,0.703,0.379,0.8359
svd mmr,0.093,1.268,0.729,0.789,0.337,0.4413
