Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.236,0.237,0.021,0.9997
knnu mmr,25,0.151,0.145,0.019,0.1114
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.239,0.234,0.021,0.0491
knni mmr,29,0.152,0.152,0.018,0.0978
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.255,0.250,0.026,0.4958
svd mmr,27,0.221,0.222,0.018,0.1727
