Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.286,1.000,0.822,0.868,0.170,0.0000
knnu td,0.000,1.000,0.598,0.624,0.282,0.0007
knnu mmr,0.231,1.000,0.663,0.729,0.189,0.1778
knni,0.000,1.000,0.767,0.825,0.211,0.0000
knni td,0.000,0.973,0.687,0.816,0.284,0.0000
knni mmr,0.338,1.000,0.697,0.743,0.164,0.0082
svd,0.000,1.000,0.777,0.886,0.267,0.0000
svd td,0.000,0.978,0.693,0.777,0.209,0.0012
svd mmr,0.000,0.913,0.595,0.608,0.224,0.2543
