Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.180,0.640,2.471,0.0000
knnu mmr,18,0.294,0.096,0.553,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.655,0.470,0.584,0.0028
knni mmr,21,0.229,0.178,0.167,0.0356
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.531,0.368,0.392,0.0067
svd mmr,19,0.236,0.224,0.169,0.3783
