Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.022,1.069,0.480,0.7397
knnu mmr,0.000,1.789,0.954,1.077,0.531,0.1072
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.017,1.069,0.352,0.2251
knni mmr,0.000,1.731,0.919,0.961,0.461,0.1250
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.247,0.661,0.732,0.337,0.4926
svd mmr,0.101,1.268,0.685,0.757,0.328,0.5635
