Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.235,0.620,2.521,0.0000
knnu mmr,17,0.266,0.091,0.444,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.671,0.523,0.596,0.0028
knni mmr,22,0.244,0.167,0.177,0.0269
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.518,0.364,0.405,0.0015
svd mmr,19,0.242,0.203,0.176,0.2617
