Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.236,0.236,0.022,0.0279
knnu mmr,25,0.183,0.182,0.015,0.5092
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.238,0.234,0.026,0.3760
knni mmr,29,0.180,0.179,0.016,0.7561
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.252,0.252,0.027,0.2880
svd mmr,27,0.253,0.251,0.028,0.2490
