Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.056,1.109,0.481,0.4515
knnu mmr,0.000,1.549,1.006,1.155,0.486,0.0310
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.633,1.011,1.049,0.361,0.3304
knni mmr,0.000,1.548,0.887,1.000,0.382,0.0659
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.175,0.623,0.640,0.352,0.5033
svd mmr,0.118,1.268,0.731,0.818,0.329,0.4416
