Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.236,0.645,2.512,0.0000
knnu mmr,19,0.261,0.135,0.367,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.690,0.523,0.616,0.0044
knni mmr,21,0.263,0.248,0.193,0.0577
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.523,0.372,0.403,0.0029
svd mmr,19,0.246,0.204,0.178,0.1534
