Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.237,0.238,0.025,0.1953
knnu mmr,25,0.188,0.186,0.016,0.9860
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.241,0.238,0.025,0.2243
knni mmr,29,0.189,0.188,0.017,0.4327
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.261,0.253,0.028,0.2104
svd mmr,27,0.254,0.248,0.029,0.2226
