Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.236,0.235,0.025,0.3159
knnu mmr,25,0.182,0.180,0.015,0.2909
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.235,0.231,0.022,0.1239
knni mmr,29,0.182,0.177,0.017,0.2721
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.253,0.252,0.025,0.9923
svd mmr,27,0.249,0.246,0.027,0.3990
