Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.230,0.645,2.496,0.0000
knnu mmr,18,0.248,0.090,0.470,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.679,0.470,0.602,0.0038
knni mmr,21,0.256,0.241,0.180,0.5992
svd,25,1.354,1.014,0.812,0.0388
svd td,23,0.503,0.367,0.394,0.0019
svd mmr,19,0.245,0.224,0.180,0.1721
