Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.315,1.000,0.838,0.889,0.159,0.0000
knnu td,0.000,1.000,0.593,0.631,0.332,0.0000
knnu mmr,0.000,1.000,0.671,0.802,0.354,0.0003
knni,0.000,1.000,0.778,0.821,0.225,0.0000
knni td,0.000,1.000,0.730,0.855,0.272,0.0000
knni mmr,0.000,1.000,0.749,0.850,0.307,0.0000
svd,0.000,1.000,0.800,0.917,0.272,0.0000
svd td,0.000,1.000,0.728,0.841,0.234,0.0001
svd mmr,0.000,1.000,0.579,0.571,0.273,0.2075
