Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.001,1.000,0.486,0.6837
knnu mmr,0.000,1.414,0.933,1.095,0.401,0.0066
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.001,1.069,0.357,0.1442
knni mmr,0.000,1.490,0.845,0.919,0.476,0.0087
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.549,0.713,0.769,0.389,0.8223
svd mmr,0.118,1.268,0.735,0.818,0.330,0.3348
