Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.207,0.645,2.491,0.0000
knnu mmr,18,0.253,0.101,0.427,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.678,0.523,0.594,0.0030
knni mmr,21,0.272,0.235,0.169,0.2291
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.517,0.350,0.399,0.0030
svd mmr,19,0.249,0.224,0.190,0.1540
