Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.067,0.490,2.249,0.0000
knnu mmr,18,0.287,0.116,0.521,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.561,0.365,0.530,0.0004
knni mmr,21,0.258,0.214,0.173,0.2313
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.475,0.407,0.363,0.0124
svd mmr,19,0.243,0.204,0.182,0.1758
