d,algorithm,n_seeds,ndcg_mean,ndcg_std,ndcg_ci95_low,ndcg_ci95_high,gh_mean,gh_std,gh_ci95_low,gh_ci95_high
38,knni mmr,20,0.769,0.0039336604086431136,0.7672759973134714,0.7707240026865286,0.1573,0.00047016234598162214,0.15709394226664916,0.15750605773335083
38,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
38,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
38,knnu mmr,20,0.69025,0.008116746820455021,0.6866926788612483,0.6938073211387518,0.1567,0.0006569466853317863,0.15641208042058496,0.15698791957941505
38,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
38,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
38,svd mmr,20,0.58975,0.00044426165831931735,0.5895552937435115,0.5899447062564885,0.22240000000000001,0.0005026246899500359,0.222179715017116,0.22262028498288403
38,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
39,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
39,knni mmr,20,0.7727,0.00428092464188212,0.7708238020528628,0.7745761979471373,0.15865,0.0004893604849295943,0.15843552831127827,0.15886447168872175
