Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,0.692,0.740,0.422,0.1099
knnu td,25,0.457,0.490,0.289,0.4332
knnu mmr,18,0.103,0.096,0.086,0.1610
knni,33,0.456,0.408,0.330,0.0558
knni td,27,0.378,0.365,0.221,0.8947
knni mmr,22,0.084,0.090,0.053,0.3501
svd,25,0.821,0.910,0.287,0.2250
svd td,22,0.272,0.253,0.147,0.5208
svd mmr,19,0.168,0.153,0.121,0.1777
