Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.023,1.000,0.484,0.7152
knnu mmr,0.000,1.732,0.862,0.908,0.560,0.0450
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.011,1.069,0.350,0.2283
knni mmr,0.000,1.632,0.752,0.913,0.542,0.0220
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.174,0.650,0.688,0.328,0.5277
svd mmr,0.118,1.268,0.734,0.818,0.333,0.3157
