Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,6,0.248,0.224,0.050,0.0940
knnu td,33,0.234,0.232,0.022,0.2305
knnu mmr,25,0.146,0.138,0.022,0.0422
knni,13,0.243,0.245,0.018,0.8224
knni td,32,0.243,0.243,0.025,0.9402
knni mmr,29,0.161,0.158,0.033,0.4012
svd,4,0.251,0.257,0.030,0.5000
svd,27,0.211,0.211,0.018,0.9847
svd,29,0.254,0.246,0.026,0.1130
