Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,24,1.531,1.001,1.589,0.0011
knnu td,25,1.186,0.629,2.504,0.0000
knnu mmr,18,0.251,0.096,0.444,0.0000
knni,33,0.729,0.598,0.629,0.0049
knni td,27,0.674,0.478,0.605,0.0030
knni mmr,22,0.218,0.138,0.176,0.0368
svd,25,1.354,1.014,0.812,0.0388
svd td,22,0.524,0.395,0.405,0.0026
svd mmr,19,0.236,0.204,0.180,0.1017
