Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,4,0.086,0.073,0.083,0.7599
knnu td,25,0.109,0.113,0.038,0.1783
knnu mmr,16,0.069,0.047,0.086,0.0011
knni,12,0.110,0.114,0.025,0.6977
knni td,25,0.111,0.106,0.039,0.0011
knni mmr,20,0.071,0.071,0.054,0.0023
svd,4,0.154,0.137,0.053,0.1605
svd,19,0.070,0.065,0.041,0.8862
svd,22,0.143,0.119,0.100,0.0000
