Algoritmo,Min.,Máx.,Média,Mediana,Desvio padrão,p-valor
knnu,0.000,1.577,0.889,0.957,0.439,0.0535
knnu td,0.000,2.000,1.021,1.069,0.477,0.6723
knnu mmr,0.000,1.633,0.977,1.000,0.481,0.2320
knni,0.000,1.468,0.787,0.834,0.414,0.1100
knni td,0.000,1.604,1.010,1.069,0.349,0.1735
knni mmr,0.000,1.632,0.871,0.926,0.482,0.2677
svd,0.135,1.121,0.695,0.765,0.285,0.3558
svd td,0.000,1.174,0.657,0.688,0.329,0.5350
svd mmr,0.101,1.268,0.709,0.776,0.307,0.6745
