algorithm,rmse,n_pairs,mean_rating_real,mean_score_pred
svd,0.7490410894943875,683,0.6486090775988287,0.6635345325283725
svd-topic-diversification,0.7507700861939587,220,0.6954545454545454,0.708915132363414
svd-mmr-diversification,0.8104156707150069,155,0.5806451612903226,0.6611550100819917
knn_item_item,0.9538499713103311,524,0.5076335877862596,0.6984610526463141
knn_item_item-topic-diversification,1.0313240980521363,376,0.4574468085106383,0.8893545521319317
knn_user_user,1.0559406331114927,683,0.4158125915080527,0.8197136731091966
knn_item_item-mmr-diversification,1.0644508403494284,182,0.42857142857142855,0.9525797861171132
knn_user_user-mmr-diversification,1.0713525520043758,138,0.427536231884058,0.9419286219240695
knn_user_user-topic-diversification,1.3942300075038767,589,-0.01697792869269949,0.9460096450405813
