Algoritmo,Usuários,Média,Mediana,Desvio Padrão,p-valor
knnu,27,0.234,0.234,0.024,0.3215
knnu td,33,0.233,0.237,0.020,0.6625
knnu mmr,25,0.165,0.160,0.019,0.3578
knni,34,0.241,0.237,0.030,0.0042
knni td,32,0.238,0.234,0.021,0.0254
knni mmr,29,0.167,0.166,0.018,0.3667
svd,26,0.242,0.241,0.017,0.8909
svd td,29,0.254,0.246,0.026,0.1130
svd mmr,27,0.252,0.248,0.030,0.1944
